City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,287.44,79,92,2.1,AU,1680729730
1,saint-philippe,-21.3585,55.7679,296.92,82,30,2.96,RE,1680729731
2,georgetown,5.4112,100.3354,298.11,93,20,1.03,MY,1680729732
3,east london,-33.0153,27.9116,292.92,69,0,6.96,ZA,1680729432
4,barrow,71.2906,-156.7887,252.16,77,100,4.63,US,1680729733
5,kapaa,22.0752,-159.319,299.33,80,75,7.2,US,1680729733
6,mar del plata,-38.0023,-57.5575,293.16,81,0,11.18,AR,1680729734
7,tuktoyaktuk,69.4541,-133.0374,257.15,78,100,5.14,CA,1680729734
8,tiksi,71.6872,128.8694,250.96,97,100,3.25,RU,1680729735
9,hamilton,39.1834,-84.5333,290.5,97,100,4.12,US,1680729630
10,mataura,-46.1927,168.8643,279.48,95,97,4.14,NZ,1680729736
11,norman wells,65.282,-126.8329,270.17,59,75,2.06,CA,1680729736
12,biloela,-24.4167,150.5,294.76,47,11,1.81,AU,1680729737
13,kathmandu,27.7167,85.3167,287.5,69,20,1.54,NP,1680729532
14,hay river,60.8156,-115.7999,277.14,35,20,5.14,CA,1680729738
15,kodiak,57.79,-152.4072,277.88,70,75,4.63,US,1680729738
16,riyadh,24.6877,46.7219,293.23,15,90,2.12,SA,1680729571
17,sagone,42.1155,8.6969,280.13,62,1,2.73,FR,1680729739
18,albany,42.6001,-73.9662,286.3,65,100,2.24,US,1680729484
19,atuona,-9.8,-139.0333,300.31,77,8,6.19,PF,1680729740
20,rio pardo de minas,-15.6097,-42.5397,298.16,51,88,2.2,BR,1680729741
21,awbari,26.5921,12.7805,298.43,10,94,5.32,LY,1680729741
22,tasiilaq,65.6145,-37.6368,269.24,92,100,5.68,GL,1680729741
23,constitucion,-35.3333,-72.4167,289.88,65,100,4.12,CL,1680729742
24,rikitea,-23.1203,-134.9692,298.89,73,14,3.04,PF,1680729742
25,sortland,68.6949,15.4162,278.37,74,100,2.59,NO,1680729743
26,pisco,-13.7,-76.2167,302.18,61,0,6.17,PE,1680729743
27,bambous virieux,-20.3428,57.7575,297.71,94,40,1.54,MU,1680729743
28,arroyo,41.6096,-4.7969,285.15,39,0,4.12,ES,1680729744
29,ewa beach,21.3156,-158.0072,301.12,60,40,8.75,US,1680729745
30,dikson,73.5069,80.5464,240.53,100,65,3.83,RU,1680729467
31,yangjiang,21.85,111.9667,296.79,96,88,2.62,CN,1680729745
32,alofi,-19.0595,-169.9187,302.09,74,75,3.09,NU,1680729746
33,magan,39.9683,-3.931,289.44,21,46,1.3,ES,1680729747
34,warrington,53.3925,-2.5802,283.68,95,75,2.57,GB,1680729747
35,ostrovnoy,68.0531,39.5131,264.43,97,86,3.66,RU,1680729748
36,tiarei,-17.5333,-149.3333,304.16,74,58,3.08,PF,1680729748
37,tauramena,5.0183,-72.7492,306.42,34,54,1.06,CO,1680729749
38,new norfolk,-42.7826,147.0587,284.87,73,25,1.11,AU,1680729749
39,contepec,20.0167,-100.1167,300.07,13,91,2.83,MX,1680729750
40,aparecida do taboado,-20.0867,-51.0936,299.41,66,88,2.47,BR,1680729674
41,butaritari,3.0707,172.7902,300.99,83,60,8.4,KI,1680729751
42,nikolskoye,59.7035,30.7861,276.09,100,100,2.34,RU,1680729752
43,cidreira,-30.1811,-50.2056,295.3,63,100,5.67,BR,1680729459
44,victoria,22.2855,114.1577,299.18,93,94,0.45,HK,1680729743
45,goderich,43.7501,-81.7165,288.33,94,100,5.14,CA,1680729753
46,punta arenas,-53.15,-70.9167,283.21,43,0,9.77,CL,1680729575
47,treuchtlingen,48.95,10.9167,274.38,62,10,0.8,DE,1680729754
48,kruisfontein,-34.0033,24.7314,289.75,70,1,2.16,ZA,1680729754
49,wangou,42.0623,126.9127,276.24,96,100,0.62,CN,1680729755
